REG. NO.	SECTION	ISBN	TITLE	AUTHOR	PUBLISHER	PUB. DATE	REMARKS
00001	F	8182130530	Mans field Park 	Jane Austen	P  D  B		
00002	F	8182130530	Mans field Park 	Jane Austen	P  D  B		
00003	F	8182130530	Mans field Park 	Jane Austen	P  D  B		
00004	F	8182130530	Mans field Park 	Jane Austen	P  D  B		
00005	F	8182130530	Mans field Park 	Jane Austen	P  D  B		
00006	F	8182130557	kim	Rudyyard Kipling	P  D  B		
00007	F	8182130557	kim	Rudyyard Kipling	P  D  B		
00008	F	8182130557	kim	Rudyyard Kipling	P  D  B		
00009	F	8182130557	kim	Rudyyard Kipling	P  D  B		
00010	F	8182130557	kim	Rudyyard Kipling	P  D  B		
00011	F	8182130360	 Pride  and  Prejudice	Jane  Austen	P  D  B		
00012	F	8182130360	 Pride  and  Prejudice	Jane  Austen	P  D  B		
00013	F	8182130360	 Pride  and  Prejudice	Jane  Austen	P  D  B		
00014	F	8182130360	 Pride  and  Prejudice	Jane  Austen	P  D  B		
00015	F	8182130360	 Pride  and  Prejudice	Jane  Austen	P  D  B		
00016	F	8182130336	Lord  of  Jim	Joseph  Conrad	P  D  B		
00017	F	8182130336	Lord  of  Jim	Joseph  Conrad	P  D  B		
00018	F	8182130336	Lord  of  Jim	Joseph  Conrad	P  D  B		
00019	F	8182130336	Lord  of  Jim	Joseph  Conrad	P  D  B		
00020	F	8182130336	Lord  of  Jim	Joseph  Conrad	P  D  B		
00021	F	8182130476	A Little  Princess	Frances  Hodgson Burnett	P  D  B		
00022	F	8182130476	A Little  Princess	Frances  Hodgson Burnett	P  D  B		
00023	F	8182130476	A Little  Princess	Frances  Hodgson Burnett	P  D  B		
00024	F	8182130476	A Little  Princess	Frances  Hodgson Burnett	P  D  B		
00025	F	8182130549	Tarzan of the Apes	Edgar Rice Burroaghs	P  D  B		
00026	F	8182130549	Tarzan of the Apes	Edgar Rice Burroaghs	P  D  B		
00027	F	8182130549	Tarzan of the Apes	Edgar Rice Burroaghs	P  D  B		
00028	F	8182130549	Tarzan of the Apes	Edgar Rice Burroaghs	P  D  B		
00029	F	8182130549	Tarzan of the Apes	Edgar Rice Burroaghs	P  D  B		
00030	F	8182130492	Alice in  Wonderland	Lewis    Carrol	P  D  B		
00031	F	8182130492	Alice in  Wonderland	Lewis    Carrol	P  D  B		
00032	F	8182130492	Alice in  Wonderland	Lewis    Carrol	P  D  B		
00033	F	8182130492	Alice in  Wonderland	Lewis    Carrol	P  D  B		
00034	F	8182130492	Alice in  Wonderland	Lewis    Carrol	P  D  B		
00035	F	8182130468	The Secret  of Garden	Frances  Hodgson Burnett	P  D  B		
00036	F	8182130468	The Secret  of Garden	Frances  Hodgson Burnett	P  D  B		
00037	F	8182130468	The Secret  of Garden	Frances  Hodgson Burnett	P  D  B		
00038	F	8182130468	The Secret  of Garden	Frances  Hodgson Burnett	P  D  B		
00039	F	818213-044-1	The Further Adventure  of Robinson Crusoe	Daniel Defoe	P  D  B		
00040	F	818213-044-2	The Further Adventure  of Robinson Crusoe	Daniel Defoe	P  D  B		
00041	F	818213-044-3	The Further Adventure  of Robinson Crusoe	Daniel Defoe	P  D  B		
00042	F	818213-044-4	The Further Adventure  of Robinson Crusoe	Daniel Defoe	P  D  B		
00043	F	818213-044-5	The Further Adventure  of Robinson Crusoe	Daniel Defoe	P  D  B		
00044	F	8182130417	Heart  of  Darkness	Joseph Conrad	P  D  B		
00045	F	8182130417	Heart  of  Darkness	Joseph Conrad	P  D  B		
00046	F	8182130417	Heart  of  Darkness	Joseph Conrad	P  D  B		
00047	F	8182130417	Heart  of  Darkness	Joseph Conrad	P  D  B		
00048	F	8182130417	Heart  of  Darkness	Joseph Conrad	P  D  B		
00049	F	8182130425	Silas Marner	George  Eliot	P  D  B		
00050	F	8182130425	Silas Marner	George  Eliot	P  D  B		
00051	F	8182130425	Silas Marner	George  Eliot	P  D  B		
00052	F	8182130425	Silas Marner	George  Eliot	P  D  B		
00053	F	8182130425	Silas Marner	George  Eliot	P  D  B		
00054	F	8182130409	The  adventure  of  Peter Pan	James  Mathew Barrie	P  D  B		
00055	F	8182130409	The  adventure  of  Peter Pan	James  Mathew Barrie	P  D  B		
00056	F	8182130409	The  adventure  of  Peter Pan	James  Mathew Barrie	P  D  B		
00057	F	8182130409	The  adventure  of  Peter Pan	James  Mathew Barrie	P  D  B		
00058	F	8182130409	The  adventure  of  Peter Pan	James  Mathew Barrie	P  D  B		
00059	F	8182130506	The Jungle Book	Rudyyard  kipling 	P  D  B		
00060	F	8182130506	The Jungle Book	Rudyyard  kipling 	P  D  B		
00061	F	8182130506	The Jungle Book	Rudyyard  kipling 	P  D  B		
00062	F	8182130506	The Jungle Book	Rudyyard  kipling 	P  D  B		
00063	F	8182130506	The Jungle Book	Rudyyard  kipling 	P  D  B		
00064	F	8182130581	Frankenstein	 Mary  Wollstonecraft Shelley	P  D  B		
00065	F	8182130581	Frankenstein	 Mary  Wollstonecraft Shelley	P  D  B		
00066	F	8182130581	Frankenstein	 Mary  Wollstonecraft Shelley	P  D  B		
00067	F	8182130581	Frankenstein	 Mary  Wollstonecraft Shelley	P  D  B		
00068	F	8182130581	Frankenstein	 Mary  Wollstonecraft Shelley	P  D  B		
00069	F	8182130395	Around  the  World  in Eighty  Days 	Jules  Verne	P  D  B		
00070	F	8182130395	Around  the  World  in Eighty  Days 	Jules  Verne	P  D  B		
00071	F	8182130395	Around  the  World  in Eighty  Days 	Jules  Verne	P  D  B		
00072	F	8182130395	Around  the  World  in Eighty  Days 	Jules  Verne	P  D  B		
00073	F	8182130395	Around  the  World  in Eighty  Days 	Jules  Verne	P  D  B		
00074	F	8182130484	20'000 leagues Under the Sea	Jules  Verne	P  D  B		
00075	F	8182130484	20'000 leagues Under the Sea	Jules  Verne	P  D  B		
00076	F	8182130484	20'000 leagues Under the Sea	Jules  Verne	P  D  B		
00077	F	8182130484	20'000 leagues Under the Sea	Jules  Verne	P  D  B		
00078	F	8182130484	20'000 leagues Under the Sea	Jules  Verne	P  D  B		
00079	F	8182130379	Wuthering  Heights	Emily Bronte	P  D  B		
00080	F	8182130379	Wuthering  Heights	Emily Bronte	P  D  B		
00081	F	8182130379	Wuthering  Heights	Emily Bronte	P  D  B		
00082	F	8182130379	Wuthering  Heights	Emily Bronte	P  D  B		
00083	F	8182130379	Wuthering  Heights	Emily Bronte	P  D  B		
00084	F	8182130514	Ben  Har	L. Wallace	P.B.D		
00085	F	8182130514	Ben  Har	L. Wallace	P.B.D		
00086	F	8182130514	Ben  Har	L. Wallace	P.B.D		
00087	F	8182130514	Ben  Har	L. Wallace	P.B.D		
00088	F	8182130514	Ben  Har	L. Wallace	P.B.D		
00089	F	818213.045x	Tess  of the D' Urber Villes	Thomas  Hardy	P.B.D		
00090	F	818213.045x	Tess  of the D' Urber Villes	Thomas  Hardy	P.B.D		
00091	F	818213.045x	Tess  of the D' Urber Villes	Thomas  Hardy	P.B.D		
00092	F	818213.045x	Tess  of the D' Urber Villes	Thomas  Hardy	P.B.D		
00093	F	818213.045x	Tess  of the D' Urber Villes	Thomas  Hardy	P.B.D		
00094	F	8182130573	Far from  the Madding  Crowd	Thomas  Hardy	P.B.D		
00095	F	8182130573	Far from  the Madding  Crowd	Thomas  Hardy	P.B.D		
00096	F	8182130573	Far from  the Madding  Crowd	Thomas  Hardy	P.B.D		
00097	F	8182130573	Far from  the Madding  Crowd	Thomas  Hardy	P.B.D		
00098	F	8182130573	Far from  the Madding  Crowd	Thomas  Hardy	P.B.D		
